DogName,CollarID,x,y,Timestamp,DOP,State,Sex
Abel,27416,24.2438939,-18.1850554,2018-12-15T19:00:17Z,1.4,Resident,M
Abel,27416,24.2617326,-18.1855765,2018-12-15T15:02:00Z,1.2,Resident,M
Abel,27416,24.2684959,-18.1846284,2018-12-15T07:00:40Z,1.4,Resident,M
Abel,27416,24.3187254,-18.222834,2018-12-15T03:00:38Z,1.4,Resident,M
Abel,27416,24.3147864,-18.2238672,2018-12-14T23:00:35Z,1.2,Resident,M
Abel,27416,24.2637123,-18.2107893,2018-12-14T19:00:38Z,1.2,Resident,M
Abel,27416,24.2568201,-18.2303936,2018-12-14T15:00:39Z,1.4,Resident,M
Abel,27416,24.2571358,-18.2307315,2018-12-14T07:00:38Z,1.2,Resident,M
Abel,27416,24.2904779,-18.2400119,2018-12-14T03:00:20Z,1.2,Resident,M
Abel,27416,24.2873677,-18.2377166,2018-12-13T23:00:38Z,1,Resident,M
Abel,27416,24.2907329,-18.2429629,2018-12-13T19:00:41Z,1.4,Resident,M
Abel,27416,24.2614728,-18.1855676,2018-12-13T15:00:39Z,3.2,Resident,M
Abel,27416,24.2616776,-18.1863606,2018-12-13T07:00:39Z,1,Resident,M
Abel,27416,24.2569697,-18.2275715,2018-12-13T03:00:40Z,1.4,Resident,M
Abel,27416,24.2590182,-18.2342519,2018-12-12T23:00:26Z,1.2,Resident,M
Abel,27416,24.2612121,-18.2397586,2018-12-12T19:00:36Z,1.2,Resident,M
Abel,27416,24.2943048,-18.2446572,2018-12-12T15:00:39Z,1,Resident,M
Abel,27416,24.2938836,-18.2439131,2018-12-12T07:00:28Z,1.2,Resident,M
Abel,27416,24.2950256,-18.2187161,2018-12-12T03:00:18Z,1.4,Resident,M
Abel,27416,24.2951803,-18.2085286,2018-12-11T23:00:24Z,1.2,Resident,M
Abel,27416,24.2987301,-18.2167318,2018-12-11T19:00:32Z,1,Resident,M
Abel,27416,24.3139099,-18.1882995,2018-12-11T15:00:42Z,1,Resident,M
Abel,27416,24.3138121,-18.188209,2018-12-11T09:00:47Z,1,Resident,M
Abel,27416,24.3132786,-18.1887262,2018-12-11T07:00:28Z,1.2,Resident,M
Abel,27416,24.3126504,-18.1926909,2018-12-11T05:00:18Z,1.2,Resident,M
Abel,27416,24.2768015,-18.1782019,2018-12-11T03:00:27Z,1.2,Resident,M
Abel,27416,24.2653825,-18.1627104,2018-12-11T01:00:19Z,1.6,Resident,M
Abel,27416,24.2653945,-18.1627957,2018-12-10T23:00:36Z,1,Resident,M
Abel,27416,24.2653958,-18.162697,2018-12-10T21:00:19Z,1.2,Resident,M
Abel,27416,24.2654392,-18.16264,2018-12-10T19:00:49Z,1,Resident,M
Abel,27416,24.2601236,-18.1634793,2018-12-10T17:00:20Z,1.4,Resident,M
Abel,27416,24.2506815,-18.1209307,2018-12-10T15:00:28Z,1.4,Resident,M
Abel,27416,24.2524126,-18.1245849,2018-12-10T07:00:46Z,1.2,Resident,M
Abel,27416,24.265374,-18.0958643,2018-12-10T03:00:29Z,1.6,Resident,M
Abel,27416,24.2643083,-18.0964861,2018-12-09T23:00:30Z,1.2,Resident,M
Abel,27416,24.264003,-18.0970305,2018-12-09T19:00:35Z,1,Resident,M
Abel,27416,24.249064,-18.0949288,2018-12-09T15:00:45Z,1,Resident,M
Abel,27416,24.2644833,-18.1011417,2018-12-09T07:01:16Z,1,Resident,M
